NazRudy ; 380665456478 
#участок служба связь связи бюро ремонта кросс ;08 3308 3508 3780 
#участок служба связь связи мастерская поверхностных электрослесарей связистов слесарей ;3330 3331 3332 
#участок служба связь связи мастерская подземных электрослесарей связистов слесарей ;3518 3409 
#участок служба связь связи мастерская подземных электрослесарей связистов слесарей ;3930 3799 
#участок служба связь связи коммутатор ;07 
#участок служба связь связи коммутатор ;3307 
#участок служба связь связи коммутатор ;3309 
#участок служба связь связи кросс прибор номер один 1 ;3411 
#участок служба связь связи контрольный абонент контрольные абонемент ;3509 
#участок служба связь связи шлюз шлюзы номер один 1 ;3610 
#участок служба связь связи шлюз шлюзы номер два 2 ;3820 
#участок служба связь связи первая соединительная линия цифровой ПТС 1 ;3336 6602 Coral 
#участок служба связь связи вторая соединительная линия цифровой ПТС 2 ;3418 6603 Coral 
#участок служба связь связи третья соединительная линия цифровой ПТС 3 ;3478 6609 Coral 
#участок служба связь связи четвертая четвёртая соединительная линия цифровой ПТС 4 ;3437 6610 Coral 
#участок служба связь связи пятая соединительная линия цифровой ПТС 5 ;3618 6611 Coral 
#участок служба связь связи шестая соединительная линия цифровой ПТС 6 ;3489 6617 Coral 
#участок служба связь связи седьмая соединительная линия цифровой ПТС 7 ;3403 6618 Coral 
#участок служба связь связи восьмая соединительная линия цифровой ПТС 8 ;3649 6631 Coral 
#участок служба связь связи девятая соединительная линия цифровой ПТС 9 ;3467 6632 Coral 
#участок служба связь связи десятая соединительная линия цифровой ПТС 10 ;3339 6633 Coral 
#автоматика механик автоматики заяц александр александрович ;3421 
#автоматика общий телефон дежурный ;3904 
#автоматика телеметрия ;3533 
#отдел кадров общий телефон ;3517 
#отдел кадров начальник отдела кадров отдел кадров Симонова Виктория Анатольевна ;3317 короткий 31 
#отдел кадров инспектор по отпускам ;3544 
#отдел кадров инжинер по спец работам бовть Ольга борть бовт ;3349 
#бухгалтерия общий телефон ;3311 3393 
#бухгалтерия главный бухгалтер шуракова чуракова Широкова Наталья Александровна ;3561 короткий 15 
#бухгалтерия зам заместитель главного бухгалтера светова святова Светлова Ольга Григорьевна ;3565 
#бухгалтерия старший бухгалтер по основным фондам фонда ;3422 
#бухгалтерия начальник материальной бухгалтерии капюшона Допиши на Валентина Анатольевна ;3520 
#бухгалтерия материальная материальное материальные ;3520 3532 
#отдела отдел материально-технического снабжения и маркетинга выписка бытового угля Баскакова Ольга ;3529 3574 
#бухгалтерия налоговая Наташа Natasha ;3512 
#бухгалтерия заместитель зам главбуха главного бухгалтера по налоговому учету учёту Гале Галин Гали Неля миля Нелля Васильевна ;3512 
#участок ВТБ VTB ламповая ;3521 
#участок ВТБ VTB мастер начальник ламповой Сысоева Ирина Николаевна ;3542 
#участок ВТБ VTB приборная ;3432 
#участок ВТБ VTB мастер по ремонту приборов ;3373 
#участок ВТБ VTB ремонт светильников ;3466 
#участок ВТБ VTB выдача респираторов ;3495 
#участок ВТБ VTB сатуратор на я сатурация ная ;3387 
#участок ВТБ VTB нарядная нарядное бвр bvr ;3594 
#участок вшт вышиты высоте 600 624 горизонт горизонта кайбаш ;3740 
#участок ВТБ VTB раздатчик 800 824 горизонт горизонта ;3758 
#участок ВТБ VTB погрузочная площадка ;3363 
#водоотлива водоотливы водоотлив начальник мандрыка Виктор Владимирович ;3423 короткий 29 
#водоотлива водоотливы водоотлив нарядная нарядное ;3534 
#водоотлива водоотливы водоотлив насосная насосное насосные ;3535 
#водоотлива водоотливы водоотлив фекальная насосная насосное насосные ;3492 
#водоотлива водоотливы водоотлив насосная насосные насосное богоявленке богоявленки ;3410 радиотелефон радио телефон радиотелефоны 3429 
#водоотлива водоотливы водоотлив кайбаш ;3468 
#водоотлива водоотливы водоотлив очистные а честные ;3522 
#водоотлива водоотливы водоотлив водосборник вода сборник 800 824 горизонт горизонта ;3718 
#водоотлива водоотливы водоотлив насос 21 22 лавы главы лампы 980 горизонта горизонт ;3767 
#водоотлива водоотливы водоотлив ЦПП CP cpp 600 624 горизонта горизонт ;3713 
#водоотлива водоотливы водоотлив ЦПП CP cpp 800 824 горизонта горизонт ;3724 бит номер девять 9 
#водоотлива водоотливы водоотлив насос винт went ствола стола вентиляционного для ;3794 
#водоотлива водоотливы водоотлив компрессорная ;3903 
#водоотлива водоотливы водоотлив слесаря компрессорная компрессорной ;3514 
#водоотлива водоотливы водоотлив вентилятор главного ствола ;3909 3354 
#водоотлива водоотливы водоотлив вентилятор вентиляционный ствол вент винт vent вентиляционного ствола ;3914 3554 
